Angular separation (lambda/D),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
4.5,0.6752053937805162,0.6866658933912296,0.6067285422170714,0.6225923335310112,0.35549279307659615,0.36871143755729335,0.05588503821173159,0.3105042460104261,0.04433058281316599,0.28212389932316817,0.021267251785751656,0.16587614384836552
4.75,0.6997796025310321,0.6937107369801054,0.6307079708675529,0.6291069776122613,0.37179467965743346,0.3720214622430076,0.1210266087291601,0.39526114664134726,0.10125002135293018,0.35969312726214997,0.05298290791567389,0.21220026607524084
5.0,0.715660518266752,0.6930767898992394,0.6465714600521187,0.6279883862740033,0.3824991453467742,0.3702100155232821,0.23938910266677985,0.45314237445680977,0.20718203784910083,0.41260406579431375,0.11394834998663947,0.24382568430945145
5.25,0.7208454610301233,0.6983100104932621,0.6517732942178649,0.6324666310409435,0.38543790607270106,0.37234015126155456,0.3836309180713372,0.49015445980113165,0.3383967939527974,0.4462766800952425,0.19112799952113108,0.2635746592845309
5.5,0.7212371253140323,0.708981576006419,0.6518577435478636,0.6424475039238712,0.38430256841856963,0.3786198803882456,0.5070433445041514,0.5257478576771432,0.4523337562915921,0.47855345916434455,0.25958326990598174,0.2820176719177004
5.75,0.7218573127891428,0.7165395169157232,0.6520327799186869,0.6495557118019472,0.38298151858185303,0.38295546688372284,0.581134512260573,0.5702906962426285,0.5218278845812523,0.5191448431166547,0.30223472218097447,0.3054841119915163
6.0,0.7229322889110763,0.7176085059275871,0.6527216808970506,0.6501728017122964,0.3819445371928053,0.38222444676049333,0.6146591209469981,0.6137844565632594,0.5537547813532784,0.5590589731906251,0.3220149511981446,0.32910777124032176
6.25,0.723078338872506,0.7161762889497203,0.6524291448212303,0.6481413909120659,0.3799919410031559,0.3791833159452344,0.6360311995039247,0.6398247366934893,0.5740547522888333,0.5830935121447062,0.3343382491144651,0.3436000094856334
6.5,0.7224205823463985,0.7160227166380007,0.6512039590247833,0.6474108067879639,0.37711880949408016,0.3771999864968831,0.6625727757982799,0.6470462811862645,0.5992585396187734,0.5896497996701314,0.34990093969217023,0.34749087557377883
6.75,0.7219156527573597,0.7167788372200313,0.6501815754663176,0.6476411223896309,0.3744858119916484,0.37595047029805584,0.6902478112959354,0.6507655067061753,0.6258999052895005,0.5927543005311722,0.36687645642111577,0.3492883315417452
7.0,0.721843666434198,0.7172004666144268,0.6497358789169473,0.6472606732887123,0.3726452660559528,0.37345070381664075,0.7080860022185813,0.6640203454398735,0.6433098053426672,0.6047539236010816,0.37801381851253224,0.3570436345305367
7.25,0.722076041672207,0.7178448181018983,0.6495130650600146,0.6466710710682719,0.3710563021062244,0.3698188737657214,0.713937139228274,0.6836340300401282,0.6488545238811012,0.6229294147621022,0.38089908616531937,0.3691596524989592
7.5,0.7227575651543476,0.7192040001189693,0.6494767480758902,0.6468105558982941,0.36918828381924584,0.36701865443010345,0.714331259050155,0.6977555282928324,0.6486126161758583,0.6360035103438659,0.3794123491629475,0.3778507353388903
7.75,0.7238882670942633,0.7200955715548456,0.6498520740355571,0.6470786208640918,0.3672751563913724,0.36592852401717485,0.7149537450455845,0.7017544367216738,0.6483843810067611,0.6392313769957766,0.37778363085018324,0.37940415441006126
8.0,0.7248552885932801,0.7195933490017957,0.6503757655083274,0.6465181719924344,0.3658494379474825,0.365514214862797,0.7162471450216449,0.7012634527467998,0.6488553731585266,0.6379057987261129,0.37657017188037173,0.37745105102330423
