Focal plane radial distance at f/69 (m),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
0.000101844,0.00028103478806112026,0.00019895747109071083,0.00022256159546912756,0.00019108554271709773,0.00014552375634097124,4.1852781232721464e-05,7.519027307535007e-05,0.00010963378825780445,7.559902438703603e-05,9.132051800129092e-05,3.512579747167231e-05,3.650409133392518e-05
0.00010507714285714286,0.00027248464248068056,0.00018282435380140882,0.00020313310026586108,0.00017982324646678225,0.00012208670162530607,3.507537378699061e-05,6.136344534882339e-05,8.95320353687755e-05,6.231482697998106e-05,7.588707412612772e-05,2.956529773176656e-05,3.0158228741812663e-05
0.00010831028571428571,0.00024988361159579815,0.00022088937386302161,0.0001892014898265239,0.00021670536370483145,0.00010906262060766717,4.288677035505216e-05,6.393591664788828e-05,9.13306804295866e-05,6.557335401804452e-05,7.966572026936876e-05,3.0443881713440516e-05,3.4572323729266464e-05
0.00011154342857142856,0.00023498676039796404,0.00024501500167873746,0.00018497533746071642,0.0002387844970666467,0.00010923024099140622,5.031821054564576e-05,6.813461324421707e-05,9.460450527578526e-05,6.873222063315388e-05,8.523660587624712e-05,3.0378393886333227e-05,3.9676565266902e-05
0.00011477657142857143,0.0002036428393454952,0.00025049810864493207,0.00016422275217276103,0.00024039307373618056,9.903460453306085e-05,5.106927204974406e-05,6.337353357422188e-05,8.80255962367718e-05,6.33184720511011e-05,8.319455452217e-05,2.80780681089371e-05,4.3382711343723446e-05
0.00011800971428571429,0.00014942335783604778,0.00026344153142423437,0.0001276575637521681,0.0002453144463570915,8.359707696982851e-05,5.2551109478286075e-05,5.5337032794258264e-05,7.742751174488036e-05,5.554293314988986e-05,7.67332365702145e-05,2.5231980078459764e-05,4.587051455372899e-05
0.00012124285714285714,0.00011750773990649493,0.000268460112764254,0.00010901334336442001,0.00024131246676059256,8.014062325018815e-05,5.328280731325721e-05,5.3798618510581384e-05,7.59685581533794e-05,5.291566983103255e-05,7.800779286440586e-05,2.3530356050262177e-05,5.003978612354946e-05
0.000124476,0.0001095504631131688,0.0002797187089322146,0.00011019388355597084,0.00024181957406696334,9.271732417812143e-05,5.811536784770195e-05,5.486014903555339e-05,8.014102893753652e-05,5.327144522766796e-05,8.52734975912414e-05,2.418272302835408e-05,5.7147957466399785e-05
0.00012770914285714286,7.537256996525922e-05,0.0002632917322538252,7.658405945129741e-05,0.0002148508174943486,7.069018513693058e-05,4.837054411529937e-05,4.643477464211251e-05,6.895749709122467e-05,4.482885145712408e-05,7.5174797208489e-05,2.0722933538396206e-05,5.45027897486672e-05
0.00013094228571428572,9.073551554901359e-05,0.00026024503901558903,8.437614593191889e-05,0.00019990686983487968,8.024555550464577e-05,4.790300029646889e-05,4.56638856220338e-05,7.01562164113301e-05,4.411528203110944e-05,7.803685484442116e-05,2.1850044321450243e-05,5.809945443439308e-05
