Angular separation (lambda/D),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
0.0,0.01634933970991216,0.009660485057707887,0.009539993626325757,0.007053901875159209,0.0018941427007440998,0.0015808666641688165,0.012705401435923932,0.007105843899224176,0.008038873782307731,0.005062343159196732,0.0033302107567210124,0.0018512591680315846
0.25,0.01714306835397164,0.010389923072550775,0.010266976046162543,0.007595367678203574,0.0018507458652891366,0.0017390072799052534,0.013249702026273067,0.007296023974003419,0.008489113821715806,0.005347207006439359,0.0036140749981813693,0.00206189552470554
0.5,0.022139450902450872,0.011838934013614449,0.014475673406466036,0.008669673744107844,0.0026783424077161688,0.0021931989080988075,0.014103627660823721,0.007666962914214436,0.00919969627331356,0.005921903464551071,0.00407658552751803,0.0024852489061237383
0.75,0.033622919225087505,0.012384044003099602,0.023929281786610558,0.009059599206669603,0.005576267781288833,0.002535484968588295,0.014205306918801916,0.007937023569983765,0.009299794824308665,0.006353903048435041,0.004194859770576823,0.002788478211064521
1.0,0.046380635100807165,0.014105718011463316,0.03446624249902806,0.010700550070798133,0.009469403422836767,0.0033906498452733465,0.01374150157127573,0.008059349558956328,0.008958077938217263,0.0065337595891128974,0.00407854144718157,0.0028793954985023677
1.25,0.05375857550601295,0.030883173428114943,0.04074991805205713,0.02572874998950311,0.012405846208128516,0.010957227458741834,0.013303480941941295,0.008075900022410883,0.008679317677036271,0.006554039615280739,0.0040108464499655685,0.0028840272879361428
1.5,0.06373172118863911,0.0873970419541072,0.04952419797588269,0.07592358684081449,0.01741365247285053,0.03795332522401297,0.012766251726589621,0.007975588432906267,0.008325122712572453,0.00645937981092587,0.003834682983610324,0.002882841639337671
1.75,0.10303164234992611,0.19922619690622248,0.08376601677616848,0.17552584181976968,0.03578765951252774,0.09395450780321249,0.01281819997990403,0.007933912509217026,0.0083741709212572,0.00641063796450599,0.0037413732880472485,0.002844186890831381
2.0,0.19605669933893244,0.3490241628053855,0.1654841738348688,0.3098544786608114,0.08009711610570312,0.17174828961172606,0.016289354544677833,0.009006914069987411,0.011154220073960388,0.0073396210107693075,0.0050675304516929545,0.0030965954191910414
2.25,0.33624433644986884,0.48919766415405885,0.29043281264250936,0.4366877510601036,0.1504500583118367,0.2468263676289198,0.024637316948016685,0.015228521516772111,0.017985929417741867,0.012831718824894403,0.008598344276104179,0.005744854526525273
2.5,0.4827364880136689,0.5777054550592257,0.4232861057849686,0.517634833377946,0.22889385299384654,0.2957913712522698,0.03365958990112874,0.036861499636169325,0.025380608252608267,0.03206531959265781,0.012215413391489348,0.016496873763001713
2.75,0.5907383873989503,0.6127028243847987,0.5231934392079445,0.5499836680568514,0.2912706215978243,0.31623689383219844,0.03877799205281341,0.08941615996167225,0.029292689108533013,0.0790855955580049,0.013311049936223888,0.04394638410360872
3.0,0.6459363468325646,0.6277468391848511,0.5754406122856992,0.5637857389290166,0.32633310851561953,0.325905046792631,0.04886749177120555,0.1824499187850295,0.03724724415669697,0.16285216554741047,0.016063299754668223,0.09344191606203023
3.25,0.668352636921286,0.6534886873905908,0.5970711239503387,0.5875010672146255,0.34225512658594465,0.34204323699783895,0.08994139508558636,0.3042837107370945,0.07233672747147973,0.2732401250043585,0.03421645779130457,0.1589167341422505
3.5,0.6858146957084739,0.6901315981379963,0.6137685214995862,0.6218184404334695,0.35458903717078577,0.3648919610558821,0.18494385108426642,0.4214825051047355,0.15600002365318846,0.38006903608634035,0.08128651312690029,0.22246947186538063
3.75,0.7087856943962751,0.7182799498237047,0.6358629509582674,0.6485488369925841,0.3704699937086428,0.38265920643699064,0.3257413826553779,0.5021420646065926,0.28247850105641986,0.45396445148143466,0.15513848555841078,0.26660855855626114
4.0,0.7302357623315221,0.7277207706606441,0.6568780283498173,0.6574782074881048,0.3857367909374706,0.3884040344406063,0.4705341069630571,0.543045606685288,0.41483461643170466,0.4914494959439011,0.23454291911882655,0.2890763250552593
4.25,0.7420966754271426,0.7272468770248939,0.6686977939980625,0.6565787258088539,0.394276763154618,0.3871377511311339,0.5754417490433412,0.569648203676596,0.5124504192539435,0.5156355138287475,0.2946948096259528,0.3035806565781441
4.5,0.7453461352225785,0.7296091336234666,0.6718357367513812,0.6582861477383762,0.3958955941440437,0.3873414402248439,0.6288889044431455,0.6065442372810547,0.5631382837977192,0.5494117181887203,0.3269170720210139,0.3240504452723874
4.75,0.7458774697141957,0.7367002064325359,0.6720150641882032,0.6648101271351453,0.3947918335630503,0.39086822556998424,0.6530653594665036,0.6522030946746183,0.5863191555810476,0.5916891479026156,0.34206683547832606,0.3500004636951908
5.0,0.7468559601754065,0.7423698603591834,0.6725713555976842,0.6701390618670996,0.39384350954149455,0.393572940331092,0.6750125331955457,0.6866666614028749,0.6072144464011413,0.6238457212022785,0.35570025239183733,0.36982087326406726
5.25,0.7476267982222111,0.7433235220876782,0.6729672299409499,0.670733928605739,0.39278455361033887,0.39266615925885434,0.7021757042672363,0.6992326139157125,0.6333262664872477,0.6354419051957566,0.37290791570955173,0.37658381882599445
5.5,0.747243377618665,0.741988470632408,0.6722414054337325,0.6689282168509788,0.39072963118391263,0.3897823805320801,0.7253477273601249,0.7001976938742915,0.6559997532322723,0.6358621481807138,0.3880472890475799,0.376042679876797
5.75,0.7462089035426662,0.7412495918701957,0.6709455500061114,0.6678224051269064,0.3881369266843239,0.38749988861808105,0.736831243466339,0.7054446658443156,0.6674033168811871,0.6402997729156786,0.3953259445836684,0.37823148673067153
6.0,0.7453813649218735,0.7412421054473814,0.6700218802018427,0.667612426604537,0.3859923089679259,0.38598687007739685,0.7392693726097876,0.7180132799058546,0.6696697845407712,0.6519742126102048,0.39565599501564697,0.3854861966994964
