Focal plane radial distance at f/69 (m),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
2.2178571428571424e-06,0.0025296637514791763,0.001719497427411867,0.000765828556490301,0.0008837843202912175,0.0002159472009276491,0.00010516516632671966,0.0010013733912359539,0.0005370294103371295,0.00016660309353354975,0.00018063957461556028,0.000309870106251958,4.111012955615695e-05
6.653571428571427e-06,0.0023897858144198256,0.001680505380324005,0.0007222130734336798,0.0008684071014163038,0.00020994986380438408,0.00010209443959585818,0.000950504224988457,0.0005200056621621485,0.0001581506807098586,0.0001754673996275437,0.00029916784202715355,3.957367588805303e-05
1.1089285714285711e-05,0.0021693402083564836,0.0016172028057170442,0.0006536471360607815,0.0008433006926869496,0.00020023458194728394,9.717814707489535e-05,0.000870122049536105,0.0004927542140650659,0.00014485031964038488,0.00016722083560150006,0.00028190559549598823,3.711008059155842e-05
1.5524999999999998e-05,0.002007069931384908,0.0015683472124519947,0.00060327297074367,0.0008236637912162801,0.00019279579250846746,9.34499859528991e-05,0.0008105314879918406,0.00047195039284722795,0.0001349715930429559,0.00016086190065372203,0.00026885846388761427,3.528023813423582e-05
1.996071428571428e-05,0.0017287111406443837,0.0014816328423962082,0.0005172835872319348,0.0007887158468317647,0.0001795866221099131,8.695958136927536e-05,0.0007081828806665616,0.0004359229284934288,0.00011820525210440065,0.00015004448267318368,0.00024568769209283256,3.203294598008303e-05
2.4396428571428564e-05,0.0013439506081932325,0.0013495636496218275,0.000399185159704087,0.0007342613856829979,0.00015975014752973575,7.744253900679094e-05,0.0005647466401590409,0.00038260742872386466,9.476765057803572e-05,0.0001338949697813533,0.0002116305016084436,2.740598261607391e-05
2.8832142857142854e-05,0.0010045398005215835,0.0012234957911413011,0.0002960665547204393,0.0006836259886488846,0.0001403648444827034,7.043402543579729e-05,0.0004360769595038809,0.00033171186196245936,7.391885019685601e-05,0.00011837107864498302,0.00017907941961750853,2.3329946311065092e-05
3.326785714285714e-05,0.0007714511510306782,0.001113947444350953,0.00022638284318942078,0.0006326009452770022,0.0001254958946215872,6.071182647409916e-05,0.00034634287966561186,0.00029427677261058315,5.9718071358236465e-05,0.00010740329087708059,0.00015443870508110823,1.9882304525451348e-05
3.770357142857142e-05,0.00044985770576776873,0.0009472889798678354,0.00013237794901479523,0.0005599878068462404,0.00010142581463165807,5.147938532013913e-05,0.00021829920773382488,0.00023528055854344545,3.9770253544173944e-05,8.98605331632222e-05,0.00011581990690801362,1.5343619816443286e-05
4.2139285714285704e-05,0.000238074749005758,0.0007981198938449226,7.3685030592178e-05,0.0004913926435457477,8.101090337606373e-05,4.332355094974693e-05,0.00012894467948598216,0.00018804391915044135,2.653229076512154e-05,7.635817995817864e-05,8.414337052562656e-05,1.1828016770670338e-05
